Question,Answer
Apakah e-Faktur harus dicetak dan ditandatangani?,"e-Faktur berbentuk elektronik, sehingga tidak diwajibkan untuk dicetak dalam bentuk kertas, namun demikian dalam hal diperlukan cetakan kertas baik oleh pihak penjual dan/atau pihak pembeli, e-Faktur dapat dicetak sesuai dengan kebutuhan.
e-Faktur ditandatangani secara elektronik, sehingga tidak disyaratkan lagi untuk ditandatangani secara basah oleh pejabat/pegawai yang ditunjuk oleh Pengusaha Kena Pajak (PKP)."
"Jika PKP sudah memiliki sistem pembuatan Faktur Pajak, apakah masih harus menginput data Faktur Pajak per transaksi (key in)?","Informasi tentang ""Jika PKP sudah memiliki sistem pembuatan Faktur Pajak, apakah masih harus menginput data Faktur Pajak per transaksi (key in)?"" panjang untuk ditampilkan di sini. Silakan baca langsung di: https://pajak.go.id/id/17-jika-pkp-sudah-memiliki-sistem-pembuatan-faktur-pajak-apakah-masih-harus-menginput-data-faktur"
"Setelah ditunjuk sebagai PKP yang wajib menggunakan e-Faktur, apakah masih diperkenankan membuat Faktur Pajak berbentuk kertas?","Pengusaha Kena Pajak (PKP) yang telah ditunjuk sebagai PKP yang wajib menggunakan e-Faktur tidak diperkenankan lagi untuk membuat Faktur Pajak berbentuk kertas.
Apabila setelah ditunjuk sebagai PKP e-Faktur namun PKP tersebut tidak membuat Faktur Pajak berbentuk elektronik maka PKP dianggap tidak membuat Faktur Pajak."
Apa yang dimaksud dengan Akun PKP dan apa fungsinya?,"Akun Pengusaha Kena Pajak (PKP) adalah wadah layanan secara elektronik yang disediakan oleh Direktorat Jenderal Pajak (DJP) untuk mempermudah pemberian layanan secara elektronik dalam hal ini adalah pemberian Sertifikat Elektronik dan pemberian Nomor seri Faktur Pajak melalui website.
Fungsinya untuk mempermudah pelayanan kepada PKP sekaligus memberikan keamanan. Setiap PKP yang memenuhi syarat akan dibuatkan Akun PKP oleh DJP. Untuk dapat menggunakan Akun PKP, PKP harus mengaktifkan Akun tersebut."
Bagaimana jika PKP meminta menggunakan e-Faktur sebelum 1 Juli 2015?,"Pegusaha Kena Pajak (PKP) dapat mengajukan surat permintaan ke Kantor Pelayanan Pajak (KPP) tempat dikukuhkan. Selanjutnya KPP akan meneruskan ke Kantor Pusat Direktorat Jenderal Pajak (DJP) dengan ditembusan ke Kepala Kanwil masing-masing. Kantor Pusat DJP, dalam hal ini Direktorat Peraturan Perpajakan I akan menerbitkan Surat Keputusan untuk menetapkan PKP yang bersangkutan setelah melalui koordinasi dengan direktorat teknis terkait."
Apabila ada permasalahan terkait dengan kendala teknis kemana bisa dihubungi?,"PKP dapat menghubungi Account Representative di Kantor Pelayanan Pajak (KPP) tempat dikukuhkan atau dapat menghubungi petugas di Kring Pajak melalui telepon 1-500200. Dalam hal kendala tersebut belum tertangani, maka akan diselesaikan oleh Kantor Pusat Direktorat Jenderal Pajak."
"Apakah e-Faktur hanya bisa digunakan melalui komputer atau laptop saja, bagaimana dengan handphone smartphone?","Sementara ini, e-Faktur belum dapat digunakan di handphone dan smartphone."
Bagaimana dengan PKP yang tidak mempunyai komputer?,"Dalam hal Pengusaha Kena Pajak (PKP) tidak mempunyai komputer, PKP diminta untuk meminjam/menyewa komputer di tempat persewaan komputer.
Namun demikian mengingat harga komputer dan atau notebook sekarang ini lebih terjangkau, lebih baik mulai menganggarkan untuk membeli/mengadakan komputer/notebook."
Apa persyaratan dan ketentuan yang berlaku untuk meminta Sertifikat Elektronik?,"Jawaban untuk ""Apa persyaratan dan ketentuan yang berlaku untuk meminta Sertifikat Elektronik?"" terlalu panjang untuk ditampilkan. Silahkan baca langsung melalui link berikut: https://pajak.go.id/id/10-apa-persyaratan-dan-ketentuan-yang-berlaku-untuk-meminta-sertifikat-elektronik"
Apa fungsi Sertifikat Elektronik?,"Sebagai prasyarat untuk mendapatkan layanan perpajakan secara elektronik (melalui akun PKP) dalam melaksanakan ketentuan Undang-Undang Pajak Pertambahan Nilai seperti penggunaan aplikasi e-Faktur, permintaan nomor seri Faktur Pajak secara online dan layanan lainnya."
Apa yang dimaksud dengan Sertifikat Elektronik?,Sertifikat Elektronik adalah sertifikat yang bersifat elektronik yang memuat Tanda Tangan Elektronik dan identitas yang menunjukkan status subjek hukum para pihak dalam Transaksi Elektronik yang dikeluarkan oleh Penyelenggara Sertifikasi Elektronik.
Apa yang perlu dipersiapkan untuk membuat e-Faktur?,"Untuk membuat e-Faktur, Pengusaha Kena Pajak harus melakukan langkah-langkah berikut ini:
- Telah memiliki Sertifikat Elektronik
- Menyiapkan komputer, rekomendasi kebutuhan untuk dapat menjalankan aplikasi e-Faktur Pajak adalah perangkat keras berupa: Processor Dual Core. 3 GB RAM, 50 GB Harddisk space, VGA dengan minimal resolusi layar 1024x768, Mouse, dan Keyboard dan Perangkat Lunak berupa Sistem Operasi : Linux / Mac OS / Microsoft Windows, Java versi 1.7, dan Adobe Reader
- Terhubung dengan jaringan internet baik direct connection ataupun proxy
- Menyiapkan password permintaan Nomor seri Faktur Pajak (e-NOFA)
- Menyiapkan username penandatangan Faktur Pajak
- Menyiapkan nomor seri faktur pajak yang telah didapatkan dari Kantor Pelayanan Pajak (KPP) atau dari website Direktorat Jenderal Pajak (DJP)
- Menyiapkan data transaksi faktur pajak atau menyiapkan data impor sesuai manual user aplikasi."
Dimana dan bagaimana cara memperoleh aplikasi e-Faktur?,"Jawaban untuk ""Dimana dan bagaimana cara memperoleh aplikasi e-Faktur?"" terlalu panjang untuk ditampilkan. Silahkan baca langsung melalui link berikut: https://pajak.go.id/id/5-dimana-dan-bagaimana-cara-memperoleh-aplikasi-e-faktur"
Kapan saya harus menggunakan aplikasi e-Faktur dalam menerbitkan Faktur Pajak?,"Penerbitan Faktur Pajak dengan menggunakan aplikasi e-Faktur ditetapkan sesuai PER-16/PJ/2014 dan KEP-136/PJ/2014 dimana tahapan penggunaan aplikasi e-Faktur dibagi sebagai berikut:
- Per 1 Juli 2014 untuk PKP tertentu.
- Per 1 Juli 2015 untuk PKP Jawa dan Bali.
- Per 1 Juli 2016 untuk PKP Nasional."
Apa keuntungan menggunakan e-Faktur sebagai Penjual dan Pembeli?,"Bagi penjual:Dapat menikmati kemudahan antara lain: tanda tangan basah digantikan dengan tanda tangan elektronik, e-Faktur tidak harus dicetak sehingga mengurangi biaya kertas, biaya cetak, dan biaya penyimpanan, aplikasi e-Faktur sekaligus pembuatan SPT Masa PPN dan memperoleh kemudahan dapat meminta nomor seri Faktur Pajak melalui website Direktorat Jenderal Pajak (DJP) sehingga tidak perlu lagi datang ke Kantor Pelayanan Pajak (KPP).
Bagi pembeli:Terlindungi dari penyalahgunaan Faktur Pajak yang tidak sah, karena e-Faktur dilengkapi dengan pengaman berupa QR code yang dapat diverifikasi dengan smartphone/HP tertentu yang beredar di pasar. Sehingga PKP pembeli memperoleh kepastian bahwa PPN yang disetor oleh pembeli datanya telah dilaporkan ke DJP oleh pihak penjual."
Apa latar belakang diluncurkannya e-Faktur?,"Yang mendasari Direktorat Jenderal Pajak (DJP) membuat aplikasi ini adalah karena memperhatikan masih terdapat penyalahgunaan Faktur Pajak, diantaranya wajib pajak non Pengusaha Kena Pajak (PKP) yang menerbitkan faktur pajak padahal tidak berhak menerbitkan faktur pajak, faktur pajak yang terlambat diterbitkan, faktur pajak fiktif, atau faktur pajak ganda. Juga karena beban administrasi yang begitu besar bagi pihak DJP maupun bagi PKP."
Apa dasar hukum pembuatan e-Faktur?,"Dasar hukum pembuatan e-Faktur sebagai berikut:
1. UU Nomor 42 TAHUN 2009 tentang Perubahan Ketiga atas UU Nomor 8 TAHUN 1983 tentang PPN Barang dan Jasa dan PPnBM.
2. PMK-151/PMK.03/2013 tentang Tata Cara Pembuatan dan Tata Cara Pembetulan atau Penggantian Faktur Pajak.
3. PER-17/PJ/2014 tentang Perubahan Kedua atas PER-24/PJ/2012 tentang Bentuk, Ukuran, Prosedur Pemberitahuan dalam rangka Pembuatan, Tata Cara Pengisian Keterangan, Pembetulan atau Penggantian, dan Pembatalan Faktur Pajak.
4. PER-16/PJ/2014 tentang Tata Cara Pembuatan dan Pelaporan Faktur Pajak berbentuk Elektronik."
Apa pengertian Badan menurut ketentuan perpajakan?,"Badan adalah sekumpulan orang dan/atau modal yang merupakan kesatuan baik yang melakukan usaha maupun yang tidak melakukan usaha yang meliputi perseroan terbatas, perseroan komanditer, perseroan lainnya, badan usaha milik negara atau badan usaha milik daerah dengan nama dan dalam bentuk apa pun, firma, kongsi, koperasi, dana pensiun, persekutuan, perkumpulan, yayasan, organisasi massa, organisasi sosial politik, atau organisasi lainnya, lembaga, dan bentuk hukum lainnya termasuk kontrak investasi kolektif dan bentuk usaha tetap (Pasal 1 angka 3 UU KUP)"
FAQ e-SPT Masa PPN 1107PUT,"1. Bagaimana cara menginstal e-SPT PPN 1107PUT?Jawab:Cara menginstal e-SPT PPN 1107 PUT yaitu:Letakkan installernya pada drive C;Instal setup.exe nya dan ikuti langkah penginstalannya.
2. Letakkan installernya pada drive C;
3. Instal setup.exe nya dan ikuti langkah penginstalannya.
1. Letakkan installernya pada drive C;
2. Instal setup.exe nya dan ikuti langkah penginstalannya."
FAQ e-SPT Masa PPN 1111,"Jawaban untuk ""FAQ e-SPT Masa PPN 1111"" terlalu panjang untuk ditampilkan. Silahkan baca langsung melalui link berikut: https://pajak.go.id/id/faq-e-spt-masa-ppn-1111"
FAQ e-SPT Tahunan Badan Rupiah,"Jawaban untuk ""FAQ e-SPT Tahunan Badan Rupiah"" terlalu panjang untuk ditampilkan. Silahkan baca langsung melalui link berikut: https://pajak.go.id/id/faq-e-spt-tahunan-badan-rupiah"
FAQ e-SPT Masa PPh Pasal 23/26,"1. Versi terupdate e-SPT Masa PPh Pasal 23/26 tertanggal berapa?Jawab:Versi terupdate e-SPT Masa PPh Pasal 23/26 tertanggal 30112009.
2. Untuk Bukti Potong PPh Pasal 26 yang menggunakan ketentuan tax treaty dan menurut tax treaty hak pemajakan terdapat pada Negara partner, pemberi penghasilan tetap membuat bukti potong PPh Pasal 26 dengan tarif 0% berdasarkan PER-24/PJ./2010. Tetapi e-SPT tidak mengakomodir pembuatan bukti potong dengan tarif 0%.Jawab:Sudah disampaikan ke pihak terkait dan dalam proses penyelesaian."
FAQ e-SPT Masa PPh Pasal 22,"Jawaban untuk ""FAQ e-SPT Masa PPh Pasal 22"" terlalu panjang untuk ditampilkan. Silahkan baca langsung melalui link berikut: https://pajak.go.id/id/faq-e-spt-masa-pph-pasal-22"
FAQ e-SPT Masa PPh Pasal 21-26 (PER-32/PJ/2009),Tidak ada jawaban.
FAQ e-SPT Masa PPh Pasal 21-26 2014 (PER-14/PJ/2013),"Jawaban untuk ""FAQ e-SPT Masa PPh Pasal 21-26 2014 (PER-14/PJ/2013)"" terlalu panjang untuk ditampilkan. Silahkan baca langsung melalui link berikut: https://pajak.go.id/id/faq-e-spt-masa-pph-pasal-21-26-2014-14pj2013"
FAQ e-SPT Masa PPh Pasal 15,"Jawaban untuk ""FAQ e-SPT Masa PPh Pasal 15"" terlalu panjang untuk ditampilkan. Silahkan baca langsung melalui link berikut: https://pajak.go.id/id/faq-e-spt-masa-pph-pasal-15"
FAQ e-SPT Masa Pph Pasal 4 Ayat (2),"Jawaban untuk ""FAQ e-SPT Masa Pph Pasal 4 Ayat (2)"" terlalu panjang untuk ditampilkan. Silahkan baca langsung melalui link berikut: https://pajak.go.id/id/faq-e-spt-masa-pph-pasal-4-ayat-2"
FAQ Umum e-SPT,"Informasi tentang ""FAQ Umum e-SPT"" mengandung daftar kombinasi (bernomor dan bullet). Silakan baca langsung di: https://pajak.go.id/id/faq-umum-e-spt"
Apa yang dimaksud dengan Surat Pemberitahuan?,"Surat Pemberitahuan adalah surat yang oleh Wajib Pajak digunakan untuk melaporkan
penghitungan dan/atau pembayaran pajak, objek pajak dan/atau bukan objek pajak, dan/atau harta
dan kewajiban sesuai dengan ketentuan peraturan perundangundangan perpajakan."
Ada berapa jenis formulir SPT Tahunan bagi Wajib Pajak Orang Pribadi?,"Ada 3 jenis formulir SPT Tahunan untuk pelaporan Wajib Pajak Orang Pribadi, yaitu:
a. Formulir 1770 SS
Formulir ini memiliki struktur dan bentuk yang paling sederhana karena hanya 1 lembar.
Formulir ini digunakan oleh Wajib Pajak yang mempunyai penghasilan selain dari usaha
dan/atau pekerjaan bebas dengan penghasilan bruto tidak lebih dari Rp60.000.000,00 dalam
satu tahun
Formulir 1770 SS:
Di akhir tahun karyawan harus meminta bukti potong 1721-A1 untuk karyawan swasta
dan bukti potong 1721-A2 untuk pegawai negri sehingga memudahkan untuk mengisi
formulir 1770 SS dikarenakan di dalam bukti potong 1721-A1 maupun 1721-A2 sudah
tertera penghasilan bruto karyawan tersebut selama 1 tahun.
Dalam pengisiannya formulir ini merupakan yang paling sederhana dikarenakan hanya
memindahkan data yang sudah ada dalam bukti potong 1721-A1 maupun 1721-A2 ke
dalam formulir 1770 SS. Serta mengisikan daftar harta maupun kewajiban sampai
akhir tahun tanpa memerlukan perinciannya.
b. Formulir 1770 S
Formulir ini memiliki struktur lebih kompleks dibandingkan formulir 1770 SS karena memiliki
lampiran yang harus diisi. Formulir ini diperuntukan bagi:
1. Wajib Pajak Orang Pribadi yang memperoleh penghasilan lebih dari satu pemberi
kerja atau, yang penghasilan brutonya sama dengan atau lebih besar dari 60 juta per
tahun;
2. memperoleh penghasilan dalam negeri lainnya (seperti : bunga, royalty, sewa ataupun
keuntungan dari penjualan dan/atau pengalihan harta lainnya) atau,
3. memiliki penghasilan yang dikenakan PPh final Dan/atau bersifat final seperti bunga
deposito, SBI dan lainnya.
Formulir 1770 S
Formulir ini digunakan untuk karyawan yang penghasilan brutonya sama dengan atau
lebih besar dari 60 juta per tahun. Karyawan yang mengisi formulir 1770 S juga
diwajibkan untuk meminta bukti potong 1721-A1 maupun 1721-A2;
Memperoleh penghasilan yang bukan termasuk objek pajak seperti : Hibah/Warisan,
Bantuan/Sumbangan, Klaim asuransi kesehatan, Beasiswa, dan lain-lain
Bagi Wajib Pajak yang menggunakan formulir 1770 S dalam penyampaian SPT
Tahunannya, diwajibkan untuk mengisi lampiran – lampirannya seperti : Data
penghasilan, Daftar harta dan/atau kewajiban, Bukti potong, Daftar anggota keluarga.
c. Formulir 1770
Formulir 1770 ini diperuntukkan bagi
1. Wajib Pajak Orang Pribadi yang memperoleh penghasilan dari usaha sendiri (misalnya
: usaha pertokoan, salon, warung dan lain-lain) atau,
2. dari pekerjaan bebas (misalnya : dokter, notaris, petugas dinas asuransi dan lain-lain)
atau,
3. WP yang memperoleh penghasilan dari satu atau lebih pemberi kerja
4. memiliki penghasilan yang dikenakan PPh final dan/atau bersifat final
5. Wajib Pajak yang memiliki penghasilan Dalam Negeri lainnya (seperti : bunga, royalty,
sewa ataupun keuntungan dari penjualan dan/atau pengalihan harta lainnya).
6. Wajib Pajak yang dan memperoleh penghasilan di luar negeri."
Apa yang dimaksud dengan e-Filing?,"e-Filing adalah suatu cara penyampaian SPT Tahunan PPh secara elektronik yang dilakukan
secara online dan real time melalui internet pada website Direktorat Jenderal Pajak
(https://djponline.pajak.go.id) atau Penyedia Jasa Aplikasi ( Application Service Provider (ASP)).
Layanan e-Filing melalui website Direktorat Jenderal Pajak melayani penyampaian SPT Tahunan
Orang Pribadi yang menggunakan Formulir 1770 SS, 1770 S, dan 1770.
e-Filing dapat dilaporkan dengan cara webfiling (mengisi secara langsung di website DJP online
untuk 1770SS, 1770 S, dan 1770), upload file csv (untuk 1770 S dan 1770), dan e-Form (1770 S
dan 1770)"
Apa yang dimaksud dengan EFIN?,"Electronic Filing Identication Number (EFIN) adalah nomor identitas yang diterbitkan oleh Direktorat
Jenderal Pajak kepada Wajib Pajak yang melakukan transaksi elektronik dengan DJP. (Dalam hal
ini untuk melakukan registrasi pada DJP Online)"
Bagaimana cara mengajukan permohonan untuk memperoleh EFIN?,"Bagi Wajib Pajak orang pribadi, syarat dan ketentuan pengajuan permohonan aktivasi EFIN adalah
sebagai berikut:
a. permohonan aktivasi EFIN dilakukan oleh Wajib Pajak sendiri tidak diperkenankan untuk
dikuasakan kepada pihak lain;
b. Wajib Pajak mengisi, menandatangani, dan menyampaikan Formulir Permohonan Aktivasi
EFIN dengan mendatangi secara langsung Kantor Pelayanan Pajak (KPP) terdekat, Kantor
Pelayanan Penyuluhan dan Konsultasi Perpajakan (KP2KP) terdekat atau Tempat Tertentu di
Luar Kantor sesuai dengan kewenangannya;
c. Wajib Pajak menunjukan asli dan menyerahkan fotokopi dokumen berupa:
1. identitas diri berupa
a. KTP dalam hal pengurus merupakan warga Negara Indonesia; atau
b. Paspor dan Kartu Izin Tinggal Terbatas (KITAS) atau Kartu Izin Tinggal Tetap
(KITAP) dalam hal Wajib Pajak merupakan warga negara asing; dan
2. kartu Nomor Pokok Wajib Pajak (NPWP) atau Surat Keterangan Terdaftar (SKT);
d. Wajib Pajak menyampaikan alamat email aktif yang digunakan sebagai sarana komunikasi
dalam rangka pelaksanaan hak dan kewajiban perpajakan
Formulir permohonan EFIN disediakan di KPP atau dapat diunduh di situs pajak www.pajak.go.id"
"Apa yang harus dilakukan oleh Wajib Pajak setelah memperoleh EFIN agar dapat
memanfaatkan layanan e-Filing melalui DJP Online?","Untuk menggunakan DJP Online, Anda harus melakukan registrasi terlebih dahulu. Caranya adalah
pertama Anda ajukan kode EFIN ke kantor pajak, kemudian lakukan registrasi di
https://djponline.pajak.go.id."
Apakah e-SPT sama dengan e-Filing?,"e-SPT adalah data SPT Wajib Pajak dalam bentuk elektronik yang dibuat oleh Wajib Pajak dengan
menggunakan aplikasi e-SPT sedangkan e-Filing adalah cara penyampaian e-SPT secara online
dan real time melalui internet."
"Bagaimana secara umum skema Penyampaian SPT Tahunan PPh secara e-Filing melalui
https://djponline.pajak.go.id?",Secara umum skema penyampaian SPT Tahunan PPh seperti gambar berikut ini:
Bagaimana cara mengisi e-Filing?,"Untuk mengisi e-Filing pajak online, silakan log in https://djponline.pajak.go.id menggunakan nomor
NPWP dan password yang Anda gunakan saat registrasi. Kemudian pilih menu/logo ""e-Filing"" pada
halaman utama."
Mengapa DJP Online tidak bisa diakses?,"DJP Online tidak bisa diakses kemungkinan disebabkan jumlah akses menuju DJP Online sangat
padat, server down, jaringan bermasalah (tidak stabil), dan sebagainya, sehingga tidak semua
pengguna dapat mengakses DJP Online dengan lancar."
Mengapa Kode Keamanan tidak muncul?,"DJP Online tidak bisa diakses kemungkinan disebabkan jumlah akses menuju DJP Online sangat
padat, server down, jaringan bermasalah (tidak stabil), dan sebagainya, sehingga tidak semua
pengguna dapat mengakses DJP Online dengan lancar."
Mengapa saya tidak menerima link aktivasi DJP Online ke email?,"DJP Online tidak bisa diakses kemungkinan disebabkan jumlah akses menuju DJP Online sangat
padat, server down, jaringan bermasalah (tidak stabil), dan sebagainya, sehingga tidak semua
pengguna dapat mengakses DJP Online dengan lancar."
Mengapa NPWP Saya Non Efektif?,"Wajib Pajak tidak dapat melaporkan SPT Tahunan apabila NPWPnya Non Efektif. Penyebab NPWP
Non Efektif sebagai berikut:
a. Wajib Pajak orang pribadi yang menjalankan usaha atau pekerjaan bebas tetapi secara
nyata tidak lagi menjalankan kegiatan usaha atau tidak lagi melakukan pekerjaan bebas
b. Wajib Pajak orang pribadi yang tidak menjalankan usaha atau pekerjaan bebas dan
penghasilannya di bawah Penghasilan Tidak Kena Pajak
c. Wajib Pajak orang pribadi yang bertempat tinggal atau berada di luar negeri lebih dari 183
(seratus delapan puluh tiga) hari dalam jangka waktu 12 (dua belas) bulan dan tidak
bermaksud meninggalkan Indonesia untuk selama-lamanya
d. Wajib Pajak yang mengajukan permohonan penghapusan dan belum diterbitkan keputusan
atau Wajib Pajak yang tidak lagi memenuhi persyaratan subjektif dan/atau objektif tetapi
belum dilakukan penghapusan Nomor Pokok Wajib Pajak (NPWP) dengan kriteria antara
lain:
1. Wajib Pajak Orang Pribadi wanita kawin yang telah memiliki NPWP yang berbeda
dengan suami dan tidak berniat melakukan pemenuhan kewajiban perpajakan secara
terpisah
2. Orang Pribadi yang memiliki NPWP sebagai anggota keluarga atau tanggungan yaitu
NPWP dengan kode cabang ""001"", ""999"", ""998"" dan seterusnya
3. Wajib Pajak bendahara pemerintah yang tidak lagi memenuhi syarat sebagai Wajib
Pajak karena yang bersangkutan sudah tidak lagi melakukan pembayaran dan belum
dilakukan penghapusan NPWP atau
4. Wajib Pajak yang tidak diketahui atau ditemukan lagi alamatnya."
Bagaimana cara mengaktifkan kembali NPWP Non Efektif?,"Pengaktifan Kembali Wajib Pajak Non Efektif dapat dilakukan berdasarkan permohonan Wajib
Pajak dan secara jabatan, dan hanya dapat dilakukan oleh KPP.Pengaktifan kembali Wajib Pajak
Non Efektif dilakukan dalam hal terdapat data dan/atau informasi yang menunjukkan bahwa Wajib
Pajak yang telah ditetapkan sebagai Wajib Pajak Non Efektif tidak lagi memenuhi kriteria sebagai
Wajib Pajak Non Efektif. KPP melakukan penelitian administrasi perpajakan dalam rangka
pengaktifan kembali Wajib Pajak Non Efektif untuk mengetahui kebenaran data dan/atau informasi
antara lain:
a. Wajib Pajak menyampaikan SPT Masa atau SPT Tahunan
b. Wajib Pajak melakukan pembayaran pajak
c. Wajib Pajak melakukan kegiatan usaha atau pekerjaan bebas
d. Wajib Pajak mengajukan permohonan untuk diaktifkan kembali atau
e. Wajib Pajak diketahui/ditemukan alamatnya."
Bagaimana apabila Saya lupa password untuk login DJP Online?,"Apabila lupa Password DJP Online dilakukan dengan cara mudah yaitu tinggal direset, yang
penting email masih ingat dan bisa dibuka. Silakan masuk ke laman DJP Online dan Klik menu
“lupa password?reset di sini?
Anda akan diminta untuk pengisian beberapa data yaitu NPWP, nomor EFIN, dan kode keamanan.
Setelah itu, klik “submit”, kemudian terdapat message pop up “Request Succeed, link reset
password telah dikirim ke email Anda”. Silakan klik “OK”. Cek email Anda, dan klik “Link Reset
Password” yang telah dikirimkan. Selanjutnya ganti password sebelumnya dengan password baru
yang aman dan mudah diingat."
Bagaimana apabila Saya lupa password dan Email?,"Apabila Anda lupa password dan email maka yang harus dilakukan adalah silakan masuk ke laman
DJP Online, Klik menu “lupa password?reset di sini”. Selanjutnya, silakan masukkan NPWP dan
nomor EFIN pada kolom yang tersedia.Langkah ini yang membedakan dengan yang hanya lupa
password saja. Anda wajib memberikan cek list pada kotak lupa email, setelah itu masukkan email
baru yang akan digunakan untuk Aplikasi DJP Online. Pastikan semua kolom yang tersedia diisi
dengan benar, selanjutnya silakan Anda masukkan kode keamanan dan klik “submit”. Langkah
selanjutnya sama dengan pertanyaan lupa password (FAQ no. 15)."
"Bagaimana apabila Saya telah melakukan registrasi pada DJP Online sekaligus aktivasi
e-Filing, namun ketika melakukan prosedur lupa password dan lupa email terdapat notifikasi
“NPWP belum terdaftar”?","Apabila ada notifikasi “NPWP belum terdaftar” pada aplikasi DJP Online, solusinya cukup
mudah.Silakan lakukan langkah “reset password”, setelah itu lakukan langkah “lupa email” dan
yang terakhir adalah reset password DJP Online lagi. Namun apabila langkah tersebut gagal, maka
silakan anda mendatangi Kantor Pelayanan Pajak terdekat untuk mendapatkan asistensi reset
password e-Filing/DJP Online sekaligus reset email dan aktifasi aplikasi e-Fiing/DJP online."
Bagaimana cara menghapus SPT Tahunan yang salah?,"SPT Tahunan melalui e-Filing yang telah terkirim tidak bisa dihapus. Anda dapat melakukan
pembetulan SPT Tahunan dengan cara membuat SPT Tahunan baru di aplikasi DJP Online, untuk
status SPT Tahunan silakan isi ""Pembetulan ke-1""."
Mengapa saya tidak bisa membuat SPT Tahunan dengan status normal?,"Masalah ini kemungkinan dapat disebabkan karena:
1. Anda sudah pernah menyampaikan SPT Tahunan dengan status normal. Sehingga apabila
anda ingin menyampaikan SPT Tahunan lagi untuk Tahun Pajak yang sama, maka sistem
hanya memperbolehkan Anda untuk membuat SPT Tahunan dengan status Pembetulan.
2. Apabila Anda belum pernah menyampaikan SPT Tahunan dengan status normal, maka
silakan log in ke DJP Online, masuk ke aplikasi e-FIling. Pada halaman utama di kolom atas,
silakan klik ""Submit SPT"", silakan hapus atau edit SPT tersebut."
"Mengapa ada pesan kesalahan (kode error) ""400"" ""404"" ""500""?","Untuk kode seperti itu, ada kesalahan di halaman website atau server DJP Online. Untuk jelasnya
Anda bisa cari di halaman mesin pencari dengan kata kunci ""error 400"", “404, dan “500”."
Browser apa yang bisa digunakan untuk lapor pajak melalui e-Filing?,Pada prinsipnya semua browser bisa digunakan untuk mengakses DJP Online.
Dimana saya dapat mengakses DJP Online?,"Anda dapat mengakses DJP Online untuk pelaporan SPT melalui e-Filing dengan alamat
https://djponline.pajak.go.id atau tautan DJP Online yang ada di laman situs pajak
(www.pajak.go.id)."
"Bagaimana caranya mengubah data profil di DJP Online? mengingatdata profil
Sayaantara DJP online dengan yang ada sekarang berbeda?","Apabila Anda berniat untuk mengubah data diri, silakan datang ke Kantor Pelayanan Pajak untuk
melakukan perubahan data dengan cara mengisi formulir perubahan data.Namun walaupun data
diri tidak sesuai Anda tetap dapatmelaporkan SPT Tahunan melalui e-Filing."
"Saya telah memiliki NPWP sejak tahun 2014 dan tidak pernah lapor SPT, apakahsaya
dapatmelaporkan SPT Tahunan mulai dari 2014?","Anda dapat melakukan pelaporan pajak sejak Anda memiliki NPWP.Silakan Anda melaporkan SPT
Tahunan dengan menggunakan e-Filing."
Apakah ada sanksi apabilaSaya tidak lapor pajak?,"Apabila Anda tidak melaporkan atau terlambat lapor pajak terdapat sanksi yang akan dikenakan
berdasarkan Undang-undang Ketentuan Umum dan Tata Cara Perpajakan. Sanksi apabila tidak
melaporkan pajak yaitu sanki administrasi dan sanksi pidana.
Untuk sanksi administrasi, berupa:
a. Denda Rp. 100.000, untuk SPT Tahunan Wajib Pajak Orang Pribadi
b. Denda Rp. 1.000.000,- untuk SPT Tahunan Wajib Pajak Badan
Sanksi pidana, berupa denda 100% sampai 400% dari pajak terhutang dan sanksi
pencegahan sampai kurungan (penjara)."
"Apabila Saya tidak bekerja, namun saya memiliki NPWP, apakah tetap lapor SPT
Tahunan?","Pada prinsipnya setiap pemilik kartu NPWP Wajib melaporkan SPT Tahunan, namun apabila tidak
memiliki penghasilan atau memiliki penghasilan di bawah Penghasilan Tidak Kena Pajak (PTKP),
dipersilakan untuk mengajukan permohonan sebagai Wajib Pajak Non Efektif."
Apakah untuk lapor pajak ada biaya?,"Untuk melaporkan pajak atau SPT Tahunan, Anda sama sekali tidak dipungut biaya (gratis),
termasuk kegiatan konsultasi pelaporan SPT yang diberikan oleh Petugas Kantor Pelayanan Pajak."
